dataset,method,variant,top_k,classifier,run,OA,kappa,f1_macro
botswana,DRL,full_sequential,10,3DCNN,0,95.28205128205128,0.9489261975013125,95.25944011648738
botswana,DRL,full_sequential,10,3DCNN,1,96.92307692307692,0.966660131672533,96.90671244893817
botswana,DRL,full_sequential,10,3DCNN,2,94.97435897435898,0.945547364389857,95.54852912908751
botswana,DRL,full_sequential,10,3DCNN,3,94.25641025641026,0.9378140617668096,94.3462099149195
botswana,DRL,full_sequential,10,3DCNN,4,92.71794871794872,0.9210257018701707,93.05506936457445
botswana,DRL,random_selection,10,3DCNN,0,96.92307692307692,0.9666794253140678,96.71373767542501
botswana,DRL,random_selection,10,3DCNN,1,89.84615384615384,0.8898020832857645,89.92210492928888
botswana,DRL,random_selection,10,3DCNN,2,94.46153846153847,0.939986390075926,95.09894031584346
botswana,DRL,random_selection,10,3DCNN,3,93.12820512820514,0.9255263601913457,93.51993744161837
botswana,DRL,random_selection,10,3DCNN,4,89.74358974358975,0.8889100307975576,89.28633963447344
ksc,SRPA,full_lambda0.3,10,3DCNN,0,90.83920563741191,0.898146335676365,81.75536807573677
ksc,SRPA,full_lambda0.3,10,3DCNN,1,93.85009609224856,0.9315706342237242,89.31410833863856
ksc,SRPA,full_lambda0.3,10,3DCNN,2,95.06726457399103,0.9451259987819677,91.74870803352184
ksc,SRPA,full_lambda0.3,10,3DCNN,3,93.91415759128763,0.9321815236668396,90.19992072466422
ksc,SRPA,full_lambda0.3,10,3DCNN,4,91.09545163356823,0.9007229623474841,84.17769186251138
ksc,SRPA,no_redundancy_lambda0,10,3DCNN,0,92.63292761050609,0.9179609398742782,86.55616502541551
ksc,SRPA,no_redundancy_lambda0,10,3DCNN,1,93.91415759128763,0.9321957874926958,88.80392979750548
ksc,SRPA,no_redundancy_lambda0,10,3DCNN,2,91.92825112107623,0.9101760802015268,82.98569467359853
ksc,SRPA,no_redundancy_lambda0,10,3DCNN,3,93.78603459320948,0.9308266836489258,89.8273165422149
ksc,SRPA,no_redundancy_lambda0,10,3DCNN,4,92.69698910954516,0.9186265364354698,86.90733764098171
ksc,DRL,full_sequential,10,3DCNN,0,94.81101857783472,0.9421865862418515,89.79155228284706
ksc,DRL,full_sequential,10,3DCNN,1,93.20948110185779,0.9243347059536358,84.44053674828447
